" Día";"Series 1"
"2020-02-26 00:00:00";0
"2020-02-27 00:00:00";0
"2020-02-28 00:00:00";0
"2020-02-29 00:00:00";0
"2020-03-01 00:00:00";0
"2020-03-02 00:00:00";2
"2020-03-03 00:00:00";2
"2020-03-04 00:00:00";3
"2020-03-05 00:00:00";5
"2020-03-06 00:00:00";5
"2020-03-07 00:00:00";6
"2020-03-08 00:00:00";6
"2020-03-09 00:00:00";11
"2020-03-10 00:00:00";25
"2020-03-11 00:00:00";52
"2020-03-12 00:00:00";116
"2020-03-13 00:00:00";206
"2020-03-14 00:00:00";297
"2020-03-15 00:00:00";405
"2020-03-16 00:00:00";643
"2020-03-17 00:00:00";903
"2020-03-18 00:00:00";1206
"2020-03-19 00:00:00";1594
"2020-03-20 00:00:00";2012
"2020-03-21 00:00:00";2413
"2020-03-22 00:00:00";2729
"2020-03-23 00:00:00";3170
"2020-03-24 00:00:00";3703
"2020-03-25 00:00:00";4246
"2020-03-26 00:00:00";4860
"2020-03-27 00:00:00";5369
"2020-03-28 00:00:00";5732
"2020-03-29 00:00:00";6014
"2020-03-30 00:00:00";6383
"2020-03-31 00:00:00";6770
"2020-04-01 00:00:00";7079
"2020-04-02 00:00:00";7357
"2020-04-03 00:00:00";7704
"2020-04-04 00:00:00";7878
"2020-04-05 00:00:00";8033
"2020-04-06 00:00:00";8302
"2020-04-07 00:00:00";8538
"2020-04-08 00:00:00";8799
"2020-04-09 00:00:00";9072
"2020-04-10 00:00:00";9273
"2020-04-11 00:00:00";9460
"2020-04-12 00:00:00";9634
"2020-04-13 00:00:00";9756
"2020-04-14 00:00:00";10080
"2020-04-15 00:00:00";10430
"2020-04-16 00:00:00";10808
"2020-04-17 00:00:00";11171
"2020-04-18 00:00:00";11293
"2020-04-19 00:00:00";11453
"2020-04-20 00:00:00";11688
"2020-04-21 00:00:00";11935
"2020-04-22 00:00:00";12106
"2020-04-23 00:00:00";12325
"2020-04-24 00:00:00";12563
"2020-04-25 00:00:00";12667
"2020-04-26 00:00:00";12789
"2020-04-27 00:00:00";12854
"2020-04-28 00:00:00";12957
"2020-04-29 00:00:00";13051
"2020-04-30 00:00:00";13131
"2020-05-01 00:00:00";13179
"2020-05-02 00:00:00";13217
"2020-05-03 00:00:00";13237
"2020-05-04 00:00:00";13291
"2020-05-05 00:00:00";13357
"2020-05-06 00:00:00";13441
"2020-05-07 00:00:00";13493
"2020-05-08 00:00:00";13548
"2020-05-09 00:00:00";13609
"2020-05-10 00:00:00";13632
"2020-05-11 00:00:00";13669
"2020-05-12 00:00:00";13740
"2020-05-13 00:00:00";13826
"2020-05-14 00:00:00";13894
"2020-05-15 00:00:00";13964
"2020-05-16 00:00:00";13979
"2020-05-17 00:00:00";13982
"2020-05-18 00:00:00";14035
"2020-05-19 00:00:00";14125
"2020-05-20 00:00:00";14220
"2020-05-21 00:00:00";14323
"2020-05-22 00:00:00";14467
"2020-05-23 00:00:00";14479
"2020-05-24 00:00:00";14488
"2020-05-25 00:00:00";14557
"2020-05-26 00:00:00";14630
"2020-05-27 00:00:00";14711
"2020-05-28 00:00:00";14746
"2020-05-29 00:00:00";14807
"2020-05-30 00:00:00";14819
"2020-05-31 00:00:00";14824
"2020-06-01 00:00:00";14829
"2020-06-02 00:00:00";14854
"2020-06-03 00:00:00";14888
"2020-06-04 00:00:00";14935
"2020-06-05 00:00:00";14979
"2020-06-06 00:00:00";14982
"2020-06-07 00:00:00";14986
"2020-06-08 00:00:00";15002
"2020-06-09 00:00:00";15024
"2020-06-10 00:00:00";15054
"2020-06-11 00:00:00";15074
"2020-06-12 00:00:00";15117
"2020-06-13 00:00:00";15118
"2020-06-14 00:00:00";15126
"2020-06-15 00:00:00";15134
"2020-06-16 00:00:00";15149
"2020-06-17 00:00:00";15164
"2020-06-18 00:00:00";15181
"2020-06-19 00:00:00";15202
"2020-06-20 00:00:00";15207
"2020-06-21 00:00:00";15210
"2020-06-22 00:00:00";15223
"2020-06-23 00:00:00";15246
"2020-06-24 00:00:00";15249
"2020-06-25 00:00:00";15254
"2020-06-26 00:00:00";15290
"2020-06-27 00:00:00";15294
"2020-06-28 00:00:00";15300
"2020-06-29 00:00:00";15312
"2020-06-30 00:00:00";15341
"2020-07-01 00:00:00";15366
"2020-07-02 00:00:00";15397
"2020-07-03 00:00:00";15445
"2020-07-04 00:00:00";15454
"2020-07-05 00:00:00";15465
"2020-07-06 00:00:00";15482
"2020-07-07 00:00:00";15540
"2020-07-08 00:00:00";15582
"2020-07-09 00:00:00";15655
"2020-07-10 00:00:00";15907
"2020-07-11 00:00:00";15932
"2020-07-12 00:00:00";15967
"2020-07-13 00:00:00";16046
"2020-07-14 00:00:00";16172
"2020-07-15 00:00:00";16339
"2020-07-16 00:00:00";16547
"2020-07-17 00:00:00";16925
"2020-07-18 00:00:00";17006
"2020-07-19 00:00:00";17154
"2020-07-20 00:00:00";17256
"2020-07-21 00:00:00";17297
