Data,Nous casos diaris confirmats,Defuncions diàries,Altes diàries,Total de casos confirmats,Total de defuncions,Total d'altes
22/09/2020,146,10,,133.751,5.823,
21/09/2020,125,4,,132.700,5.808,
20/09/2020,127,2,,132.024,5.802,
19/09/2020,,,,128.901,5.797,
18/09/2020,,,,128.901,5.797,
17/09/2020,183,5,,128.901,5.797,
16/09/2020,110,7,,127.544,5.796,
15/09/2020,214,7,,126.234,5.787,
14/09/2020,0,5,,123.393,5.780,
13/09/2020,1,5,,123.393,5.780,
12/09/2020,,,,122.320,5.780,
11/09/2020,,,,122.320,5.780,
10/09/2020,198,8,,122.320,5.780,
09/09/2020,115,3,,121.054,5.773,
08/09/2020,93,4,,119.839,5.773,
07/09/2020,147,6,,118.974,5.770,
06/09/2020,87,8,,118.233,5.769,
05/09/2020,,,,114.987,5.761,
04/09/2020,,,,114.987,5.761,
03/09/2020,160,8,,114.987,5.761,
02/09/2020,113,9,,113.569,5.758,
01/09/2020,87,9,,112.230,5.757,
31/08/2020,142,3,,110.667,5.749,
30/08/2020,67,3,,110.017,5.741,
29/08/2020,,,,106.811,5.741,
28/08/2020,,,,106.811,5.741,
27/08/2020,141,4,,106.811,5.741,
26/08/2020,164,7,,105.429,5.741,
25/08/2020,165,8,,104.084,5.740,
24/08/2020,153,3,,102.817,5.727,
23/08/2020,84,6,,102.032,5.725,
22/08/2020,,,,98.462,5.724,
21/08/2020,,,,98.462,5.724,
20/08/2020,172,10,,98.462,5.724,
19/08/2020,180,10,,97.234,5.722,
18/08/2020,244,8,,96.139,5.718,
17/08/2020,69,3,,95.123,5.712,
16/08/2020,129,1,,94.702,5.710,
15/08/2020,,,,91.982,5.709,
14/08/2020,,,,91.982,5.709,
13/08/2020,169,1,,91.982,5.709,
12/08/2020,164,3,,90.890,5.709,
11/08/2020,200,2,,89.909,5.706,
10/08/2020,100,2,,89.015,5.706,
09/08/2020,76,2,,88.572,5.706,
08/08/2020,,,,85.970,5.704,
07/08/2020,,,,85.970,5.704,
06/08/2020,113,3,,85.970,5.704,
05/08/2020,149,5,,84.952,5.703,
04/08/2020,146,5,,83.850,5.703,
03/08/2020,109,5,,83.079,5.703,
02/08/2020,,2,,80.568,5.687,
01/08/2020,,,,79.324,5.686,
31/07/2020,,,,79.324,5.686,
